|                                          |   ('prices', 'mean') |   ('prices', 'min') |   ('prices', 'max') |   ('avg_days_since_last_order', 'mean') |   ('avg_days_since_last_order', 'min') |   ('avg_days_since_last_order', 'max') |
|:-----------------------------------------|---------------------:|--------------------:|--------------------:|----------------------------------------:|---------------------------------------:|---------------------------------------:|
| (18, 'living with parents and siblings') |                7.826 |                   1 |                  25 |                                  11.114 |                                  1.034 |                                     30 |
| (18, 'single')                           |                7.743 |                   1 |                  25 |                                  11.283 |                                  1.332 |                                     30 |
| (19, 'living with parents and siblings') |                7.82  |                   1 |                  25 |                                  10.768 |                                  0.675 |                                     30 |
| (19, 'single')                           |                7.761 |                   1 |                  25 |                                  11.406 |                                  2.113 |                                     30 |
| (20, 'living with parents and siblings') |                7.775 |                   1 |                  25 |                                  11.06  |                                  1.072 |                                     30 |
| (20, 'single')                           |                7.76  |                   1 |                  25 |                                  11.377 |                                  0.583 |                                     30 |
| (21, 'living with parents and siblings') |                7.78  |                   1 |                  25 |                                  10.819 |                                  1.298 |                                     30 |
| (21, 'single')                           |                7.78  |                   1 |                  25 |                                  11.009 |                                  2.697 |                                     30 |
| (22, 'married')                          |                7.784 |                   1 |                  25 |                                  10.886 |                                  1.854 |                                     30 |
| (22, 'single')                           |                7.787 |                   1 |                  25 |                                  10.411 |                                  1.371 |                                     30 |
| (23, 'married')                          |                7.783 |                   1 |                  25 |                                  10.557 |                                  0.75  |                                     30 |
| (23, 'single')                           |                7.791 |                   1 |                  25 |                                  11.148 |                                  2.07  |                                     30 |
| (24, 'married')                          |                7.801 |                   1 |                  25 |                                  11.057 |                                  1.558 |                                     30 |
| (24, 'single')                           |                7.797 |                   1 |                  25 |                                  11.393 |                                  2.111 |                                     30 |
| (25, 'married')                          |                7.737 |                   1 |                  25 |                                  11.259 |                                  0.72  |                                     30 |
| (25, 'single')                           |                7.751 |                   1 |                  25 |                                  11.238 |                                  1.507 |                                     30 |
| (26, 'married')                          |                7.778 |                   1 |                  25 |                                  10.892 |                                  1.822 |                                     30 |
| (26, 'single')                           |                7.784 |                   1 |                  25 |                                  11.731 |                                  1.095 |                                     30 |
| (27, 'married')                          |                7.794 |                   1 |                  25 |                                  11.1   |                                  1.385 |                                     30 |
| (27, 'single')                           |                7.761 |                   1 |                  25 |                                  10.529 |                                  0.84  |                                     30 |
| (28, 'married')                          |                7.77  |                   1 |                  25 |                                  11.004 |                                  1.636 |                                     30 |
| (28, 'single')                           |                7.78  |                   1 |                  25 |                                  11.393 |                                  1.357 |                                     30 |
| (29, 'married')                          |                7.776 |                   1 |                  25 |                                  11.117 |                                  0.832 |                                     30 |
| (29, 'single')                           |                7.758 |                   1 |                  25 |                                  10.632 |                                  1.129 |                                     30 |
| (30, 'married')                          |                7.765 |                   1 |                  25 |                                  11.243 |                                  0.333 |                                     30 |
| (30, 'single')                           |                7.791 |                   1 |                  25 |                                  11.467 |                                  0.687 |                                     30 |
| (31, 'married')                          |                7.816 |                   1 |                  25 |                                  10.991 |                                  1.167 |                                     30 |
| (31, 'single')                           |                7.773 |                   1 |                  25 |                                  10.414 |                                  1.196 |                                     30 |
| (32, 'married')                          |                7.792 |                   1 |                  25 |                                  11.39  |                                  0.781 |                                     30 |
| (32, 'single')                           |                7.802 |                   1 |                  25 |                                  11.167 |                                  0.359 |                                     30 |
| (33, 'married')                          |                7.776 |                   1 |                  25 |                                  10.926 |                                  1.692 |                                     30 |
| (33, 'single')                           |                7.853 |                   1 |                  25 |                                  11.063 |                                  0     |                                     30 |
| (34, 'married')                          |                7.786 |                   1 |                  25 |                                  10.608 |                                  1.27  |                                     30 |
| (34, 'single')                           |                7.809 |                   1 |                  25 |                                  11.073 |                                  1.839 |                                     30 |
| (35, 'married')                          |                7.773 |                   1 |                  25 |                                  11.085 |                                  0.829 |                                     30 |
| (35, 'single')                           |                7.768 |                   1 |                  25 |                                  11.142 |                                  1.099 |                                     30 |
| (36, 'married')                          |                7.806 |                   1 |                  25 |                                  10.938 |                                  1.364 |                                     30 |
| (36, 'single')                           |                7.714 |                   1 |                  25 |                                  11.21  |                                  1.507 |                                     30 |
| (37, 'married')                          |                7.804 |                   1 |                  25 |                                  10.762 |                                  1.625 |                                     30 |
| (37, 'single')                           |                7.775 |                   1 |                  25 |                                  11.453 |                                  1.514 |                                     30 |
| (38, 'married')                          |                7.771 |                   1 |                  25 |                                  10.723 |                                  1.605 |                                     30 |
| (38, 'single')                           |                7.817 |                   1 |                  25 |                                  10.873 |                                  1.069 |                                     30 |
| (39, 'married')                          |                7.788 |                   1 |                  25 |                                  11.019 |                                  1     |                                     30 |
| (39, 'single')                           |                7.781 |                   1 |                  25 |                                  10.864 |                                  2.46  |                                     30 |
| (40, 'married')                          |                7.803 |                   1 |                  25 |                                  10.991 |                                  0.744 |                                     30 |
| (40, 'single')                           |                7.799 |                   1 |                  25 |                                  11.192 |                                  2.576 |                                     30 |
| (41, 'married')                          |                7.79  |                   1 |                  25 |                                  11.074 |                                  1.642 |                                     30 |
| (41, 'single')                           |                7.792 |                   1 |                  25 |                                  10.82  |                                  0.454 |                                     30 |
| (42, 'married')                          |                7.828 |                   1 |                  25 |                                  11.083 |                                  1.116 |                                     30 |
| (42, 'single')                           |                7.744 |                   1 |                  25 |                                  10.488 |                                  0     |                                     30 |
| (43, 'married')                          |                7.799 |                   1 |                  25 |                                  10.916 |                                  1.891 |                                     30 |
| (43, 'single')                           |                7.749 |                   1 |                  25 |                                  10.824 |                                  2.317 |                                     30 |
| (44, 'married')                          |                7.817 |                   1 |                  25 |                                  11.03  |                                  1.176 |                                     30 |
| (44, 'single')                           |                7.83  |                   1 |                  25 |                                  11.3   |                                  1.474 |                                     30 |
| (45, 'married')                          |                7.789 |                   1 |                  25 |                                  11.058 |                                  0     |                                     30 |
| (45, 'single')                           |                7.771 |                   1 |                  25 |                                  11.004 |                                  1.262 |                                     30 |
| (46, 'married')                          |                7.795 |                   1 |                  25 |                                  11.273 |                                  0.7   |                                     30 |
| (46, 'single')                           |                7.836 |                   1 |                  25 |                                  10.983 |                                  1.697 |                                     30 |
| (47, 'married')                          |                7.799 |                   1 |                  25 |                                  10.965 |                                  0.563 |                                     30 |
| (47, 'single')                           |                7.805 |                   1 |                  25 |                                  11.299 |                                  1.929 |                                     30 |
| (48, 'married')                          |                7.806 |                   1 |                  25 |                                  10.672 |                                  1.35  |                                     30 |
| (48, 'single')                           |                7.865 |                   1 |                  25 |                                  11.075 |                                  1.906 |                                     30 |
| (49, 'married')                          |                7.753 |                   1 |                  25 |                                  10.852 |                                  1.713 |                                     30 |
| (49, 'single')                           |                7.802 |                   1 |                  25 |                                  10.879 |                                  2.686 |                                     30 |
| (50, 'married')                          |                7.821 |                   1 |                  25 |                                  10.897 |                                  1.671 |                                     30 |
| (50, 'single')                           |                7.815 |                   1 |                  25 |                                  11.601 |                                  2.165 |                                     30 |
| (51, 'married')                          |                7.79  |                   1 |                  25 |                                  11.108 |                                  1.221 |                                     30 |
| (51, 'single')                           |                7.787 |                   1 |                  25 |                                  10.552 |                                  0.289 |                                     30 |
| (52, 'married')                          |                7.749 |                   1 |                  25 |                                  10.92  |                                  1.616 |                                     30 |
| (52, 'single')                           |                7.767 |                   1 |                  25 |                                  10.643 |                                  0.637 |                                     30 |
| (53, 'married')                          |                7.753 |                   1 |                  25 |                                  11.165 |                                  0.737 |                                     30 |
| (53, 'single')                           |                7.761 |                   1 |                  25 |                                  11.048 |                                  0.944 |                                     30 |
| (54, 'married')                          |                7.781 |                   1 |                  25 |                                  11.03  |                                  1.963 |                                     30 |
| (54, 'single')                           |                7.788 |                   1 |                  25 |                                  11.066 |                                  2.048 |                                     30 |
| (55, 'married')                          |                7.768 |                   1 |                  25 |                                  11.226 |                                  1.182 |                                     30 |
| (55, 'single')                           |                7.736 |                   1 |                  25 |                                  11.149 |                                  1.421 |                                     30 |
| (56, 'married')                          |                7.811 |                   1 |                  25 |                                  11.119 |                                  1.157 |                                     30 |
| (56, 'single')                           |                7.773 |                   1 |                  25 |                                  10.855 |                                  1.164 |                                     30 |
| (57, 'married')                          |                7.791 |                   1 |                  25 |                                  11.02  |                                  0.519 |                                     30 |
| (57, 'single')                           |                7.798 |                   1 |                  25 |                                  10.844 |                                  2.575 |                                     30 |
| (58, 'married')                          |                7.809 |                   1 |                  25 |                                  11.268 |                                  0.905 |                                     30 |
| (58, 'single')                           |                7.782 |                   1 |                  25 |                                  10.173 |                                  1.984 |                                     30 |
| (59, 'married')                          |                7.799 |                   1 |                  25 |                                  11.201 |                                  1.388 |                                     30 |
| (59, 'single')                           |                7.782 |                   1 |                  25 |                                  10.701 |                                  2.562 |                                     30 |
| (60, 'divorced/widowed')                 |                7.843 |                   1 |                  25 |                                  11.143 |                                  0.484 |                                     30 |
| (60, 'married')                          |                7.76  |                   1 |                  25 |                                  11.202 |                                  1.323 |                                     30 |
| (61, 'divorced/widowed')                 |                7.83  |                   1 |                  25 |                                  10.433 |                                  0.973 |                                     30 |
| (61, 'married')                          |                7.819 |                   1 |                  25 |                                  11.121 |                                  1.465 |                                     30 |
| (62, 'divorced/widowed')                 |                7.765 |                   1 |                  25 |                                  11.437 |                                  0.736 |                                     30 |
| (62, 'married')                          |                7.792 |                   1 |                  25 |                                  11.149 |                                  1.396 |                                     30 |
| (63, 'divorced/widowed')                 |                7.786 |                   1 |                  25 |                                  11.093 |                                  0.948 |                                     30 |
| (63, 'married')                          |                7.818 |                   1 |                  25 |                                  11.06  |                                  1.364 |                                     30 |
| (64, 'divorced/widowed')                 |                7.77  |                   1 |                  25 |                                  10.395 |                                  0.405 |                                     30 |
| (64, 'married')                          |                7.758 |                   1 |                  25 |                                  10.845 |                                  1.304 |                                     30 |
| (65, 'divorced/widowed')                 |                7.797 |                   1 |                  25 |                                  10.669 |                                  1.892 |                                     30 |
| (65, 'married')                          |                7.849 |                   1 |                  25 |                                  10.993 |                                  1.36  |                                     30 |
| (66, 'divorced/widowed')                 |                7.842 |                   1 |                  25 |                                  10.896 |                                  0.789 |                                     30 |
| (66, 'married')                          |                7.83  |                   1 |                  25 |                                  11.004 |                                  1.398 |                                     30 |
| (67, 'divorced/widowed')                 |                7.764 |                   1 |                  25 |                                  11.27  |                                  1.08  |                                     30 |
| (67, 'married')                          |                7.785 |                   1 |                  25 |                                  11.079 |                                  1.288 |                                     30 |
| (68, 'divorced/widowed')                 |                7.794 |                   1 |                  25 |                                  11.398 |                                  2.71  |                                     30 |
| (68, 'married')                          |                7.777 |                   1 |                  25 |                                  10.868 |                                  0.562 |                                     30 |
